,precision,recall,f1-score,support
0,0.9955185001113949,0.9985474610650806,0.997030680111564,116348.0
1,0.9450227716330514,0.8474329054842473,0.8935712088588127,3428.0
accuracy,0.994222548757681,0.994222548757681,0.994222548757681,0.994222548757681
macro avg,0.9702706358722231,0.922990183274664,0.9453009444851883,119776.0
weighted avg,0.9940733077755033,0.994222548757681,0.9940696606464422,119776.0
